EthnicityId|BusinessGroupId|LegislationCode|PersonId|DeclarerId|Ethnicity|PrimaryFlag|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|ATTRIBUTE_NUMBER1|ATTRIBUTE_NUMBER2|ATTRIBUTE_NUMBER3|ATTRIBUTE_NUMBER4|ATTRIBUTE_NUMBER5|ATTRIBUTE_NUMBER6|ATTRIBUTE_NUMBER7|ATTRIBUTE_NUMBER8|ATTRIBUTE_NUMBER9|ATTRIBUTE_NUMBER10|ATTRIBUTE_NUMBER11|ATTRIBUTE_NUMBER12|ATTRIBUTE_NUMBER13|ATTRIBUTE_NUMBER14|ATTRIBUTE_NUMBER15|ATTRIBUTE_NUMBER16|ATTRIBUTE_NUMBER17|ATTRIBUTE_NUMBER18|ATTRIBUTE_NUMBER19|ATTRIBUTE_NUMBER20|ATTRIBUTE_DATE1|ATTRIBUTE_DATE2|ATTRIBUTE_DATE3|ATTRIBUTE_DATE4|ATTRIBUTE_DATE5|ATTRIBUTE_DATE6|ATTRIBUTE_DATE7|ATTRIBUTE_DATE8|ATTRIBUTE_DATE9|ATTRIBUTE_DATE10|ATTRIBUTE_DATE11|ATTRIBUTE_DATE12|ATTRIBUTE_DATE13|ATTRIBUTE_DATE14|ATTRIBUTE_DATE15
200011188||US|200011188||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200011143||US|200011143||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010921||US|200010921||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200011226||US|200011226||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010801||US|200010801||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200011016||US|200011016||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010778||US|200010778||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200001613||US|200001613||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200011017||US|200011017||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010999||US|200010999||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010036||US|200010036||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200011183||US|200011183||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010975||US|200010975||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200011051||US|200011051||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200011190||US|200011190||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010638||US|200010638||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010234||US|200010234||Not Disclosed||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
200010926||US|200010926||Asian||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
