PersonId|EffectiveStartDate|EffectiveEndDate|BusinessGroupId|BusinessGroupId1|StartDate|StartDate1|CorrespondenceLanguage|BloodType|DateOfBirth|DateOfDeath|CountryOfBirth|RegionOfBirth|TownOfBirth|UserGuid|PersonNumber|PrimaryEmailId|PrimaryNatidId|PrimaryNatidNumber|PrimaryPhoneId|MailingAddressId|WaiveDataProtect|ApplicantNumber|Logical Start Date|Logical End Data|ATTRIBUTE_CATEGORY|ATTRIBUTE1|ATTRIBUTE2|ATTRIBUTE3|ATTRIBUTE4|ATTRIBUTE5|ATTRIBUTE6|ATTRIBUTE7|ATTRIBUTE8|ATTRIBUTE9|ATTRIBUTE10|ATTRIBUTE11|ATTRIBUTE12|ATTRIBUTE13|ATTRIBUTE14|ATTRIBUTE15|ATTRIBUTE16|ATTRIBUTE17|ATTRIBUTE18|ATTRIBUTE19|ATTRIBUTE20|ATTRIBUTE21|ATTRIBUTE22|ATTRIBUTE23|ATTRIBUTE24|ATTRIBUTE25|ATTRIBUTE26|ATTRIBUTE27|ATTRIBUTE28|ATTRIBUTE29|ATTRIBUTE30|ATTRIBUTE31|ATTRIBUTE32|ATTRIBUTE33|ATTRIBUTE34|ATTRIBUTE35|ATTRIBUTE36|ATTRIBUTE37|ATTRIBUTE38|ATTRIBUTE39|ATTRIBUTE40|ATTRIBUTE41|ATTRIBUTE42|ATTRIBUTE43|ATTRIBUTE44|ATTRIBUTE45|ATTRIBUTE46|ATTRIBUTE47|ATTRIBUTE48|ATTRIBUTE49|ATTRIBUTE50|ATTRIBUTE_NUMBER1|ATTRIBUTE_NUMBER2|ATTRIBUTE_NUMBER3|ATTRIBUTE_NUMBER4|ATTRIBUTE_NUMBER5|ATTRIBUTE_NUMBER6|ATTRIBUTE_NUMBER7|ATTRIBUTE_NUMBER8|ATTRIBUTE_NUMBER9|ATTRIBUTE_NUMBER10|ATTRIBUTE_NUMBER11|ATTRIBUTE_NUMBER12|ATTRIBUTE_NUMBER13|ATTRIBUTE_NUMBER14|ATTRIBUTE_NUMBER15|ATTRIBUTE_NUMBER16|ATTRIBUTE_NUMBER17|ATTRIBUTE_NUMBER18|ATTRIBUTE_NUMBER19|ATTRIBUTE_NUMBER20|ATTRIBUTE_DATE1|ATTRIBUTE_DATE2|ATTRIBUTE_DATE3|ATTRIBUTE_DATE4|ATTRIBUTE_DATE5|ATTRIBUTE_DATE6|ATTRIBUTE_DATE7|ATTRIBUTE_DATE8|ATTRIBUTE_DATE9|ATTRIBUTE_DATE10|ATTRIBUTE_DATE11|ATTRIBUTE_DATE12|ATTRIBUTE_DATE13|ATTRIBUTE_DATE14|ATTRIBUTE_DATE15
|6/21/10||||||English ||||||||89076|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89077|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89078|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89079|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89080|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89081|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89082|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89083|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89084|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89085|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89086|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89087|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89088|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89089|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89090|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89091|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89092|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89093|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89094|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|6/21/10||||||English ||||||||89095|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
